nvisits,nhome_visits,region,year,category
3066568,168655,Дніпропетровська,2020,Всього
2470481,79359,Донецька,2020,Всього
4076027,149967,Житомирська,2020,Всього
4420874,435265,Закарпатська,2020,Всього
3072379,145538,Запорізька,2020,Всього
4759476,343256,Івано-Франківська,2020,Всього
6072746,260633,Київська,2020,Всього
2539847,57057,Кіровоградська,2020,Всього
1941260,85579,Луганська,2020,Всього
6460243,420426,Львівська,2020,Всього
3174431,74801,Миколаївська,2020,Всього
3744135,244681,Одеська,2020,Всього
4330320,183306,Полтавська,2020,Всього
3865339,297764,Рівненська,2020,Всього
3669678,150527,Сумська,2020,Всього
4440734,353096,Тернопільська,2020,Всього
6751857,249651,Харківська,2020,Всього
2663407,92934,Херсонська,2020,Всього
4109009,152759,Хмельницька,2020,Всього
3576832,165162,Черкаська,2020,Всього
3153895,281301,Чернівецька,2020,Всього
3001191,95181,Чернігівська,2020,Всього
0,0,м.Київ,2020,Всього
0,0,м.Севастополь,2020,Всього
0,0,Автономна pеспубліка Крим,2020,в т.ч. в сільскі жителі
0,0,Вінницька,2020,в т.ч. в сільскі жителі
0,0,Волинська,2020,в т.ч. в сільскі жителі
0,0,Дніпропетровська,2020,в т.ч. в сільскі жителі
514868,32072,Донецька,2020,в т.ч. в сільскі жителі
0,0,Житомирська,2020,в т.ч. в сільскі жителі
81316,0,Закарпатська,2020,в т.ч. в сільскі жителі
84470,0,Запорізька,2020,в т.ч. в сільскі жителі
0,0,Івано-Франківська,2020,в т.ч. в сільскі жителі
2147960,92035,Київська,2020,в т.ч. в сільскі жителі
0,0,Кіровоградська,2020,в т.ч. в сільскі жителі
244972,10259,Луганська,2020,в т.ч. в сільскі жителі
0,0,Львівська,2020,в т.ч. в сільскі жителі
5935,576,Миколаївська,2020,в т.ч. в сільскі жителі
0,0,Одеська,2020,в т.ч. в сільскі жителі
0,0,Полтавська,2020,в т.ч. в сільскі жителі
2471708,219584,Рівненська,2020,в т.ч. в сільскі жителі
0,0,Сумська,2020,в т.ч. в сільскі жителі
0,0,Тернопільська,2020,в т.ч. в сільскі жителі
0,0,Харківська,2020,в т.ч. в сільскі жителі
1573244,54652,Херсонська,2020,в т.ч. в сільскі жителі
153076,0,Хмельницька,2020,в т.ч. в сільскі жителі
2127040,118713,Черкаська,2020,в т.ч. в сільскі жителі
1399456,234351,Чернівецька,2020,в т.ч. в сільскі жителі
0,0,Чернігівська,2020,в т.ч. в сільскі жителі
0,0,м.Київ,2020,в т.ч. в сільскі жителі
0,0,м.Севастополь,2020,в т.ч. в сільскі жителі
0,0,Автономна pеспубліка Крим,2015,Всього
8998470,698617,Вінницька,2015,Всього
6121096,359216,Волинська,2015,Всього
5705358,377390,Дніпропетровська,2015,Всього
5821439,398855,Донецька,2015,Всього
7391742,387228,Житомирська,2015,Всього
8594960,902538,Закарпатська,2015,Всього
4732641,315075,Запорізька,2015,Всього
9777879,974379,Івано-Франківська,2015,Всього
10238755,621197,Київська,2015,Всього
4728680,196684,Кіровоградська,2015,Всього
2674028,156031,Луганська,2015,Всього
10012745,767598,Львівська,2015,Всього
5130309,249562,Миколаївська,2015,Всього
6896766,509884,Одеська,2015,Всього
2579562,509499,Полтавська,2015,Всього
6074039,534374,Рівненська,2015,Всього
6117199,515051,Сумська,2015,Всього
8641929,753801,Тернопільська,2015,Всього
11019297,724204,Харківська,2015,Всього
5410210,293671,Херсонська,2015,Всього
7161674,413331,Хмельницька,2015,Всього
6097934,422997,Черкаська,2015,Всього
5366275,438478,Чернівецька,2015,Всього
4787762,272068,Чернігівська,2015,Всього
0,0,м.Київ,2015,Всього
0,0,м.Севастополь,2015,Всього
0,0,Автономна pеспубліка Крим,2015,в т.ч. в сільскі жителі
5342432,381186,Вінницька,2015,в т.ч. в сільскі жителі
3590921,178942,Волинська,2015,в т.ч. в сільскі жителі
3095358,198336,Дніпропетровська,2015,в т.ч. в сільскі жителі
1231990,83917,Донецька,2015,в т.ч. в сільскі жителі
4154744,223415,Житомирська,2015,в т.ч. в сільскі жителі
5333232,560040,Закарпатська,2015,в т.ч. в сільскі жителі
2340935,154993,Запорізька,2015,в т.ч. в сільскі жителі
6182059,606551,Івано-Франківська,2015,в т.ч. в сільскі жителі
4454646,233617,Київська,2015,в т.ч. в сільскі жителі
2163806,91468,Кіровоградська,2015,в т.ч. в сільскі жителі
1020506,55515,Луганська,2015,в т.ч. в сільскі жителі
6054888,446983,Львівська,2015,в т.ч. в сільскі жителі
831688,130504,Миколаївська,2015,в т.ч. в сільскі жителі
4259846,296099,Одеська,2015,в т.ч. в сільскі жителі
1493623,283406,Полтавська,2015,в т.ч. в сільскі жителі
3888365,329855,Рівненська,2015,в т.ч. в сільскі жителі
2069834,137835,Сумська,2015,в т.ч. в сільскі жителі
5799625,482249,Тернопільська,2015,в т.ч. в сільскі жителі
3723274,247134,Харківська,2015,в т.ч. в сільскі жителі
2819754,132437,Херсонська,2015,в т.ч. в сільскі жителі
3972629,193973,Хмельницька,2015,в т.ч. в сільскі жителі
3885324,246943,Черкаська,2015,в т.ч. в сільскі жителі
3911933,344036,Чернівецька,2015,в т.ч. в сільскі жителі
2301401,132411,Чернігівська,2015,в т.ч. в сільскі жителі
0,0,м.Київ,2015,в т.ч. в сільскі жителі
0,0,м.Севастополь,2015,в т.ч. в сільскі жителі
0,0,Автономна pеспубліка Крим,2014,Всього
9483941,712690,Вінницька,2014,Всього
6060987,346346,Волинська,2014,Всього
5478688,369683,Дніпропетровська,2014,Всього
4944779,377131,Донецька,2014,Всього
