Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Харківська,2012,13,6,7,503
Херсонська,2012,2,1,1,101
Хмельницька,2012,0,0,0,102
Черкаська,2012,4,2,2,165
Чернівецька,2012,2,1,1,99
Чернігівська,2012,19,–,19,66
Автономна Республіка Крим,2013,93,56,37,286
Вінницька,2013,1,0,1,101
Волинська,2013,1,1,−,78
Дніпропетровська,2013,325,126,199,897
Донецька,2013,507,11,496,1566
Житомирська,2013,3,0,3,106
Закарпатська,2013,2,0,2,43
Запорізька,2013,77,1,76,407
Івано-Франківська,2013,1,0,1,129
Київська,2013,3,0,3,169
Кіровоградська,2013,5,-,5,124
Луганська,2013,142,10,132,720
Львівська,2013,46,2,44,323
Миколаївська,2013,25,–,25,118
Одеська,2013,81,40,41,288
Полтавська,2013,5,–,5,147
Рівненська,2013,7,0,7,123
Сумська,2013,27,0,27,140
Тернопільська,2013,3,1,2,51
Харківська,2013,12,6,6,504
Херсонська,2013,2,1,1,100
Хмельницька,2013,1,0,1,108
Черкаська,2013,8,2,6,157
Чернівецька,2013,2,1,1,97
Чернігівська,2013,17,–,17,66
Автономна Республіка Крим,2014,…,…,…,…
Вінницька,2014,1,0,1,101
Волинська,2014,1,1,−,79
Дніпропетровська,2014,312,119,193,903
Донецька,2014,296,6,290,1527
Житомирська,2014,3,0,3,106
Закарпатська,2014,2,0,2,43
Запорізька,2014,73,2,71,416
Івано-Франківська,2014,1,0,1,131
Київська,2014,2,0,2,169
Кіровоградська,2014,4,−,4,118
Луганська,2014,30,1,29,723
Львівська,2014,45,1,44,317
Миколаївська,2014,24,−,24,118
Одеська,2014,50,28,22,281
Полтавська,2014,4,−,4,146
Рівненська,2014,7,0,7,120
Сумська,2014,20,0,20,142
Тернопільська,2014,2,1,2,51
Харківська,2014,12,6,5,505
Херсонська,2014,1,0,0,101
Хмельницька,2014,1,1,1,112
Черкаська,2014,5,2,3,162
Чернівецька,2014,3,2,1,97
Чернігівська,2014,19,−,19,64
Автономна Республіка Крим,2015,…,…,…,…
Вінницька,2015,1,0,1,98
Волинська,2015,0,−,0,78
Дніпропетровська,2015,267,115,152,1004
Донецька,2015,264,8,256,791
Житомирська,2015,3,0,3,105
Закарпатська,2015,2,0,2,44
Запорізька,2015,70,2,68,418
Івано-Франківська,2015,1,0,1,130
Київська,2015,4,0,4,170
Кіровоградська,2015,4,−,4,68
Луганська,2015,72,2,70,293
Львівська,2015,45,1,44,269
Миколаївська,2015,21,−,21,67
Одеська,2015,44,25,19,281
Полтавська,2015,3,−,3,92
Рівненська,2015,6,1,5,124
Сумська,2015,22,0,22,85
Тернопільська,2015,2,1,1,59
Харківська,2015,10,5,5,504
Херсонська,2015,0,0,0,102
Хмельницька,2015,1,0,1,139
Черкаська,2015,5,2,3,88
Чернівецька,2015,2,1,1,70
Чернігівська,2015,5,−,5,64
Автономна Республіка Крим,2016,…,…,…,…
Вінницька,2016,0,0,0,99
Волинська,2016,0,−,0,77
Дніпропетровська,2016,244,102,142,956
Донецька,2016,180,4,176,765
Житомирська,2016,3,0,3,103
Закарпатська,2016,4,0,4,50
Запорізька,2016,64,1,63,418
Івано-Франківська,2016,1,0,1,110
Київська,2016,5,0,5,167
Кіровоградська,2016,1,−,1,68
